,ID,Address,Rental Price,Rooms,Bath,SQFT
0,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
1,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
2,4008805,78 East Third Street #1R,2000.0,0.0,1.0,
3,4005966,531 East 6th Street #D3,2100.0,0.0,1.0,
4,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
5,4006318,234 East 7th Street #4RW,2175.0,0.0,1.0,
6,4006883,106 East 7th Street #BE,2200.0,1.0,1.0,
7,4008808,424 East 14th Street #3B,2250.0,0.0,1.0,
8,4004992,52 Saint Marks Place #4D,2495.0,0.0,1.0,
9,3993548,114 East 1st Street #1,2300.0,1.0,1.0,
10,4005642,230 East 2nd Street #3D,2300.0,0.0,1.0,
11,4006332,219 Avenue A #2FS,2300.0,0.0,1.0,
12,3961206,226 East 14th Street #5P,2395.0,0.0,1.0,
13,4005063,515 East 5th Street #S5J,2395.0,1.0,1.0,
14,4004463,77 East 3rd Street #4L,3299.0,1.0,1.0,
15,3990870,738 East 6th Street #3B,4495.0,2.0,2.0,
16,4004403,322 East Sixth Street #1,2400.0,0.0,1.0,
17,4007463,403 East 8th Street #10,2400.0,1.0,1.0,
18,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
19,3978394,46 East 1st Street #C1,2450.0,0.0,1.0,
20,3998232,430 East 11th Street #14,2450.0,1.0,1.0,
21,4007389,424 East 14th Street #3E,2450.0,0.0,1.0,
22,4004773,140 East 7th Street #3H,2475.0,0.0,1.0,
23,3883764,94 Third Avenue #3R,2495.0,0.0,1.0,
24,3966709,619 East Fifth Street #29E,2495.0,1.0,1.0,
25,3999081,212 Avenue B #6,2495.0,1.0,1.0,
26,4008579,45 First Avenue #S44,2495.0,0.0,1.0,
27,3993752,27 Avenue C #C,2500.0,0.0,1.0,
28,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
29,3968969,303 East 9th Street #2CF,3400.0,1.0,1.0,
30,3995311,717 East Fifth Street #4D,2500.0,1.0,1.0,
31,4005894,195 East Second Street #20,2550.0,1.0,1.0,
32,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
33,3994189,516 East 5th Street #10,2595.0,0.0,1.0,
34,4001333,514 East 5th Street #18,2595.0,0.0,1.0,
35,3872163,605 East 11th Street #3D,2600.0,1.0,1.0,
36,4008656,7 Saint Mark's Place #7,2695.0,1.0,1.0,
37,4007013,244 E. Houston Street #4AB,2699.0,0.0,1.0,
38,4007866,82 East 3rd Street #3D,2699.0,1.0,1.0,
39,3988672,640 East 14th Street #11,2700.0,1.0,1.0,
40,3993384,305 East 9th Street #C1,2700.0,1.0,1.0,
41,3998285,344 East 9th Street #22,2700.0,0.0,1.0,
42,3978519,280 E 2nd Street #704,3450.0,1.0,1.0,
43,3998050,332 East 9th Street #19,3900.0,1.0,1.0,
44,4009503,607 East 11th Street #THREE,2700.0,1.0,1.0,
45,3982835,516 East 5th Street #B,2725.0,0.0,1.0,
46,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
47,3993819,21 First Avenue #2,2750.0,1.0,1.0,
48,4001961,519 East Fifth Street #6,2795.0,0.0,1.0,
49,3969150,153 Avenue A #19,2800.0,1.0,1.0,
50,3987624,638 East 14th Street #11,2800.0,1.0,1.0,
51,3994257,620 East 11th Street #1,2800.0,1.0,1.0,
52,4003974,252 East 2nd Street #2H,2800.0,0.0,1.0,
53,3991960,328 East 14th Street #22,2850.0,1.0,1.0,
54,4008734,344 East 9th Street #4,2850.0,1.0,1.0,
55,3981633,58 Saint Mark's Place #GRNDFL,2900.0,1.0,1.0,
56,3924509,101 East 10th Street #6G,3800.0,0.0,1.0,
57,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
58,3987533,185 East 3rd Street #4D,2900.0,1.0,1.0,
59,3989968,32 East 7th Street #2E,2900.0,1.0,1.0,
60,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
61,4006801,534 East 14th Street #15,2900.0,0.0,1.0,318.0
62,3932994,715 East 5th Street #2C,2950.0,1.0,1.0,431.0
63,3992358,41 East 7th Street #11,2950.0,2.0,1.0,
64,3997687,230 East 6th Street #8,2995.0,1.0,1.0,
65,3959139,438 East 13th Street #AA4,3000.0,1.0,1.0,
66,3993106,16 Saint Mark's Place #14,3000.0,1.0,1.0,
67,3998730,500 East 13th Street #C3,3000.0,1.0,1.0,700.0
68,4004136,719 E 6th Street #4C,3000.0,1.0,1.0,440.0
69,4004665,54 East First Street #4C,3000.0,1.0,1.0,
70,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
71,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
72,4005345,59 East 3rd Street #1B,3000.0,1.0,1.0,
73,4006188,333 East 5th Street #C4,3000.0,1.0,1.0,
74,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
75,4006615,216 East 10th Street #6A,3000.0,2.0,1.0,
76,4008060,23 Avenue A #3R,3000.0,1.0,1.0,
77,4008863,435 East 6th Street #2F,3000.0,1.0,1.0,
78,3990920,738 East 6th Street #5C,3450.0,1.0,1.0,
79,3920661,324 1/2 East 8th Street #3B,3075.0,0.0,1.0,263.0
80,3851788,512 East 13th Street #3C,3100.0,0.0,1.0,
81,3945966,326 East 13th Street #19,3100.0,2.0,1.0,
82,3997827,429 East 9th Street #1,3100.0,2.0,1.0,
83,3986984,213 East 10th Street #15,3150.0,1.0,1.0,
84,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
85,3960780,101 East 10th Street #7D,5100.0,1.0,1.0,
86,4005220,300 East 5th Street #8,3250.0,1.0,1.0,
87,3984184,177 Avenue B #3B,3195.0,1.0,1.0,
88,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
89,3986413,520 East 12th Street #7D,3195.0,2.0,1.0,
90,3982593,82 East 3rd Street #2B,3199.0,2.0,1.0,
91,3944456,206 Avenue B #5,3200.0,2.0,1.0,
92,3987537,111 East 7th Street #2X,3200.0,0.0,1.0,
93,3994965,54 East 7th Street #10,3200.0,1.0,1.0,
94,3997283,21 East 2nd Street #32,3200.0,1.0,1.0,
95,4006058,256 East 10th Street #3R,3200.0,1.0,1.0,
96,3979087,417 East Ninth Street #7,3800.0,1.0,1.0,
97,3920660,516 East 11th Street #5B,3275.0,1.0,1.0,357.0
98,3969110,229 1st Avenue #3B,3650.0,1.0,1.0,400.0
99,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
100,3904597,44 Avenue B #2C,3295.0,1.0,1.0,
101,4006381,279 E 10th Street #2,3295.0,1.0,1.0,
102,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
103,4004463,77 East 3rd Street #4L,3299.0,1.0,1.0,
104,4007095,77 East 3rd Street #20M,3299.0,1.0,1.0,
105,3874761,20 Avenue A #3H,3300.0,1.0,1.0,349.0
106,3986107,312 East 9th Street #15,3300.0,2.0,1.0,
107,3986994,170 Avenue B #4S,3300.0,1.0,1.0,
108,3993756,61 East 3rd Street #14,3300.0,1.0,1.0,
109,4001965,500 East 13th Street #1,3300.0,1.0,1.0,
110,4002553,338 East 14th Street #3C,3520.0,1.0,1.0,
111,3924509,101 East 10th Street #6G,3800.0,0.0,1.0,
112,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
113,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
114,4002173,221 East 10th Street #2,3350.0,1.0,1.0,
115,4005415,41 Avenue B #3D,3350.0,1.0,1.0,
116,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
117,3957516,410 E 13th Street #1A,3395.0,1.0,1.5,
118,4007938,521 E 5th Street #2C,3395.0,1.0,1.0,
119,3968969,303 East 9th Street #2CF,3400.0,1.0,1.0,
120,3998119,402 East 12th Street #7,3400.0,1.0,1.0,
121,4003487,85 East 10th Street #3G,3400.0,0.0,1.0,
122,4009216,77 Second Avenue #3A,3400.0,2.0,1.0,
123,3976114,417 East Ninth Street #14,4000.0,1.0,1.0,
124,3978519,280 E 2nd Street #704,3450.0,1.0,1.0,
125,3980774,619 East Fifth Street #17C,3495.0,2.0,1.0,
126,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
127,4004463,77 East 3rd Street #4L,3299.0,1.0,1.0,
128,3983324,380 E 10th Street #1A,3495.0,1.0,1.0,
129,4001757,185 Avenue C #8C,3495.0,2.0,1.0,
130,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
131,4006677,445 East 9th Street #10,3495.0,1.0,1.0,
132,4006806,410 East 13th Street #5,3495.0,1.0,1.0,
133,4007935,380 E 10th Street #3B,3495.0,1.0,1.0,
134,4008696,410 East 13th Street #1,3495.0,1.0,1.5,
135,4001450,77 East 3rd Street #8A1,3499.0,2.0,1.0,
136,4007094,77 East 3rd Street #16D,3499.0,2.0,1.0,
137,3972682,283 East 7th Street #2D,3500.0,2.0,1.0,
138,3982963,229 1st Avenue #2B,3500.0,1.0,1.0,500.0
139,3985136,168 East 7th Street #2D,3500.0,1.0,1.0,700.0
140,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
141,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
142,3999209,122 Avenue C #TWO,3500.0,2.0,1.0,
143,4003566,118 East 4th Street #23,3500.0,1.0,1.0,
144,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
145,4004808,85 Fourth Avenue #2BB,3500.0,0.0,1.0,
146,4007743,122 Saint Marks Place #2,3500.0,2.0,1.0,
147,4001802,208 East 6th Street #20,3750.0,1.0,1.0,
148,3996546,328 East 9th Street #APT3A,3875.0,2.0,1.0,
149,4003140,247 East Tenth Street #6,3999.0,1.0,1.0,
150,3975867,310 East Second Street #3L,3700.0,1.0,1.0,
151,3960726,200 East 7th Street #5B,3600.0,2.0,1.0,
152,3997863,121 East 12th Street #5F,3795.0,1.0,1.0,
153,3969110,229 1st Avenue #3B,3650.0,1.0,1.0,400.0
154,3998050,332 East 9th Street #19,3900.0,1.0,1.0,
155,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
156,3980194,338 East 13th Street #4C,4000.0,1.0,1.0,
157,4004699,158 East 7th Street #D6,3675.0,1.0,1.0,
158,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
159,3986442,19 Saint Mark's Place #3L,3850.0,1.0,1.0,
160,4007595,115 East 9th Street #10M,3695.0,0.0,1.0,
161,4007016,126 East 7th Street #3CF,3699.0,1.0,1.0,
162,3954001,262 East Second Street #4C,3700.0,2.0,1.0,
163,3972722,240 East 9th Street #3,3700.0,2.0,1.0,
164,4002278,220 Avenue A #5C,3750.0,2.0,1.0,
165,4007933,221 E 11th Street #2A,3750.0,1.0,1.0,
166,3931219,95 East 7th Street #13,3775.0,1.0,1.0,340.0
167,4007753,8 Saint Mark's Place #17B,4295.0,2.0,1.0,
168,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
169,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
170,3974363,324 East 13th Street #5,3800.0,2.0,1.0,
171,3983384,512 East 13th Street #3A,3800.0,1.0,1.0,
172,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
173,3987688,67 Saint Marks Place #1A,3800.0,2.0,2.0,
174,3989255,135 Avenue A #5F,3800.0,1.0,1.0,675.0
175,3996142,608 East 11th Street #2B,3800.0,2.0,1.0,
176,4002991,224 Avenue B #28,3800.0,2.0,1.0,
177,4003377,58 Saint Mark's Place #7,3800.0,1.0,1.0,
178,3944432,200 East 11th Street #1103,4050.0,0.0,1.0,
179,4002624,306 East Fifth Street #1,4100.0,1.0,1.0,
180,3954372,619 East Fifth Street #17B,3845.0,2.0,1.0,
181,3976371,425 East 13th Street #4D,3850.0,0.0,1.0,
182,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
183,3993756,61 East 3rd Street #14,3300.0,1.0,1.0,
184,4008455,610 East 9th Street #2R2,3850.0,2.0,1.0,
185,4002136,221 East 10th Street #21,3895.0,1.0,1.0,
186,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
187,4002142,221 East 10th Street #5,3895.0,2.0,1.0,
188,3876293,20 a Avenue #5L,3900.0,0.0,1.0,370.0
189,3998050,332 East 9th Street #19,3900.0,1.0,1.0,
190,3999210,609 East 11th Street #FOURB,3900.0,2.0,1.0,
191,4003287,246 East Tenth Street #1,3900.0,1.0,1.0,
192,4004836,85 Fourth Avenue #2H,3900.0,0.0,1.0,
193,3976936,305 East 11th Street #2E,4494.0,1.0,1.0,683.0
194,3990870,738 East 6th Street #3B,4495.0,2.0,2.0,
195,3995893,256 East 10th Street #1X,3975.0,2.0,2.0,
196,3998119,402 East 12th Street #7,3400.0,1.0,1.0,
197,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
198,3962856,540 East 5th Street #1,3995.0,3.0,2.0,
199,3975107,540 East 5th Street #2R,3995.0,3.0,1.0,
200,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
201,3983076,713 East 9th Street #1D,3995.0,2.0,1.5,1100.0
202,3983261,46 Avenue B #18,3995.0,3.0,1.0,
203,3986585,46 East 1st Street #1C,3995.0,0.0,1.0,
204,3996343,45 Avenue B #3,3995.0,2.0,1.0,
205,4007975,86 East 4th Street #40,3995.0,2.0,1.0,
206,3967658,8 Saint Mark's Place #THREE,4495.0,2.0,2.0,
207,4009459,8 Saint Mark's Place #2,4495.0,2.0,2.0,
208,3976069,339 East 12th Street #3,3999.0,2.0,1.0,
209,3988084,96 East 7th Street #4,3999.0,2.0,1.0,
210,4007094,77 East 3rd Street #16D,3499.0,2.0,1.0,
211,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
212,3996610,339 East 12th Street #16,3999.0,2.0,1.0,
213,3903179,217 East 5th Street #3,4000.0,1.0,1.0,650.0
214,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
215,3989211,85 First Avenue #7B,4000.0,1.0,1.0,
216,3991733,32 Saint Marks Place #7,4000.0,2.0,2.0,
217,3996750,222 East 12th Street #5C,4000.0,1.0,1.0,
218,3999657,168 Avenue B #2S,4000.0,2.0,1.0,
219,4001920,236 East Third Street #2C,4000.0,3.0,1.0,
220,4009467,103 Saint Marks Place #5E,4000.0,2.0,1.0,
221,3973110,222 East Third Street #GB,4050.0,1.0,1.0,
222,4008449,610 East 9th Street #2R1,4095.0,1.0,1.0,
223,3968793,328 East 14th Street #20,4100.0,2.0,1.0,
224,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
225,3981099,418 East 9th Street #4A,4500.0,3.0,1.0,
226,3985617,319 East 8th Street #3C,4150.0,2.0,1.0,
227,4007225,332 East 4th Street #22,5000.0,3.0,1.0,
228,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
229,3843852,410 E 13th Street #4E,4195.0,2.0,1.0,
230,4006637,222 East Third Street #1A,4195.0,2.0,1.0,
231,3986318,127 Fourth Avenue #6H,4200.0,1.0,1.0,
232,4003937,49 Avenue B #2,4200.0,2.0,1.0,
233,4005554,158 First Avenue #2C,4200.0,3.0,1.0,900.0
234,3966226,379 East Tenth Street #4A,4595.0,1.0,1.0,
235,3991349,333 East 13th Street #1,4250.0,2.0,1.0,
236,4002908,522 East 11th Street #4/5,4250.0,3.0,1.0,
